word,sentiment
friendly,1
comfortable,1
interesting,1
different,1
select,1
light,1
beautiful,1
mid,1
sized,1
clean,1
good,1
suitable,1
feasible,1
due,1
small,1
satisfactory,1
full,1
fantastic,1
large,1
delicious,1
high,1
great,1
necessary,1
ideal,1
live,1
cool,1
calm,1
perfect,1
reasonable,1
whole,1
pleased,1
excited,1
smaller,1
special,1
amazing,1
spacious,1
satisfied,1
polite,1
courteous,1
varied,1
blue,1
lagoon,1
hard,1
first,1
safe,1
attractive,1
interior,1
bright,1
convenient,1
secure,1
true,1
bustling,1
busy,1
efficient,1
simple,1
satisfying,1
metropolitan,1
limited,1
current,1
close,1
nice,1
accessible,1
available,1
difficult,1
such,1
exciting,1
outdoor,1
relaxed,1
cold,1
fun,1
big,1
pure,1
best,1
beloved,1
same,1
mild,1
uncomfortable,1
indoor,1
several,1
fast,1
chinese,1
preferred,1
short,1
adjacent,1
easy,1
quick,1
near,1
clear,1
happy,1
other,1
excellent,1
early,1
general,1
old,1
modern,1
helpful,1
local,1
enough,1
nearby,1
public,1
new,1
strategic,1
many,1
alone,1
yummy,1
romantic,1
narrow,1
heavy,1
cozy,1
medium,1
tasty,1
glad,1
muslim,1
active,1
slow,1
interested,1
direct,1
broad,1
top,-1
most,-1
above,-1
disturbing,-1
next,-1
loud,-1
joint,-1
higher,-1
much,-1
pregnant,-1
disappointed,-1
expensive,-1
valuable,-1
uneasy,-1
poor,-1
counter,-1
unfriendly,-1
pelanggan,-1
half,-1
international,-1
qualified,-1
arrogant,-1
common,-1
worthwhile,-1
daily,-1
disappointing,-1
major,-1
peaceful,-1
natural,-1
closest,-1
only,-1
free,-1
cheaper,-1
worth,-1
ongoing,-1
remote,-1
aircond,-1
unsatisfactory,-1
hot,-1
vast,-1
ok,-1
late,-1
own,-1
structured,-1
wide,-1
little,-1
long,-1
front,-1
quiet,-1
gloomy,-1
secluded,-1
locked,-1
dangerous,-1
equivalent,-1
inadequate,-1
normal,-1
plain,-1
dibayar,-1
disedakan,-1
useless,-1
more,-1
spare,-1
basic,-1
regular,-1
dusty,-1
low,-1
rude,-1
rusty,-1
sore,-1
dirty,-1
unpleasant,-1
bad,-1
extra,-1
excessive,-1
berbaloi,-1
encouraged,-1
sufficient,-1
nyamuk,-1
